LON,LAT,EDO,CLAVE,ESTACION,dic-20
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",76.8
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",52.3
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",52.3
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",1
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",34.8
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",19.8
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",19.6
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",257.7
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",92.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",3.6
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.1
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",133
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",395.8
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",0
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",0.2
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",87.2
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",55.7
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",330.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",4.5
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",0.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",92.3
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",250.1
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",53.62
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",112.5
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",15.01
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",41.02
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",14
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",28.01
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",14
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",26.01
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",39
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
