LON,LAT,EDO,CLAVE,ESTACION,nov-23
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",78.3
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",70.5
-92.358056,15.180833,CHIS,FSCCP,"Finca San Cristóbal, Chis.",112
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",38.1
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",30
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",24
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",24.6
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",3.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",2.02
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",811.3
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",3.7
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",159.1
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",17.5
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",17.5
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",264.6
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",278.26
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",278.26
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",11.2
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",3
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",37.9
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",611.8
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",25.6
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",44.3
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",768.9
-93.474444,17.463611,CHIS,PENITAS,"Peñitas, Chis. SGT*",334.9
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",67.2
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",8.8
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",25.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",2.3
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",2.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",559.1
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",872.9
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",14.8
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",17.2
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",10.5
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",2.5
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",3.2
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",542.6
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",0
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",41.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",233.3
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",264.2
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",12.8
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",2.4
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",43.85
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",4.6
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",23.7
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",4.8
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",4.6
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",8.4
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",4.67
-93.5375,17.283333,CHIS,TZICP,"Tzimbac, Chis.",654.9
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",654.9
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",303.98
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",280.7
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",92.2
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",36.02
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",26.61
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",68
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",14.03
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",36.01
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",89.5
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",15
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",36.02
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",108.72
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas Ciudad Acuña, Coah. CILA*",25.4
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",52.4
-103.266667,25.766667,COAH,MADCL,"Madero, Coah.",30.31
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",37.01
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",49.1
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa de Fuentes, Coah. CILA*",25.75
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",118.7
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",27.75
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",18
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",49
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",12.5
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",45.5
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",84.8
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",46.56
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",39.02
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",4
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",58.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",36.5
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",1.01
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",0.4
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",2.21
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",0.61
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",11
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",1.7
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",59.4
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",17.7
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",1
-104.1,18.936111,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",0
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",12
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",1
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",104.66
-99.174167,19.240833,DF,AMC,"Academia Méx.cana de Ciencias, Cd. de Méx. UNAM*",43.13
-99.102778,19.423056,DF,BALBUENA,"Balbuena, Cd. de Méx. UNAM*",26.785
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",35.31
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",29.19
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",9.4
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",28.53
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",6.6
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA",16.95
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",10.42
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",40.3
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",23.5
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",92.96
-99.291667,19.355278,DF,CUAJIMALPA,"Memetla Cuajimalpa, Cd. de Méx. UNAM*",19.63
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",17.43
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",27.086
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",0
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",26
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",2.03
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",72.9
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",74.92
-99.066667,19.377778,DF,EMRDF,"El Moral SACM, Cd. de Méx.",39.88
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",0
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",44.7
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",25.41
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",0
