LON,LAT,EDO,CLAVE,ESTACION,ago-23
-98.941667,20.268056,HGO,ACTHD,"Actopan, Hgo.",73.5
-98.348056,21.019444,HGO,ATCHD,"Atlapexco, Hgo.",108
-98.716111,20.185556,HGO,ELCHICO,"El Chico, Hgo. SMN*",152.4
-99.36,20.163889,HGO,ENDHD,"Endhó, Hgo.",55.52
-98.076111,20.46,HGO,HHTHD,"Huehuetla, Hgo.",568.4
-99.220833,20.481944,HGO,IXMHD,"Ixmiquilpan, Hgo.",29.6
-98.128333,20.135556,HGO,LLAHD,"La Laguna, Hgo.",45.14
-98.757222,20.591667,HGO,LMTHD,"Metztitlán, Hgo.",64.27
-99.218611,20.2375,HGO,MXQHD,"Mixquiahuala, Hgo.",35.01
-98.6,21.166667,HGO,ORZHD,"San Felipe Orizatlán, Hgo.",85.03
-98.7475,20.123333,HGO,PCOHD,"Observatorio de Pachuca, Hgo.",59.3
-98.334722,20.0575,HGO,PERHD,"La Esperanza, Hgo.",46.98
-99.329444,20.359722,HGO,PRGHD,"Javier Rojo Gómez, Hgo.",49.05
-99.310833,19.963056,HGO,PRQHD,"Requena, Hgo.",71.03
-99.375833,20.435556,HGO,PVAHD,"Vicente Aguirre, Hgo.",35.05
-98.369444,20.083333,HGO,TLGHD,"Observatorio de Tulancingo, Hgo.",42.53
-98.658611,20.991667,HGO,TLNHD,"Tlanchinol, Hgo.",276.2
-99.348333,20.056944,HGO,TLRHD,"Tula Las Rosas, Hgo.",53.5
-99.501111,20.663333,HGO,ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.",58.8
-98.647222,20.652778,HGO,ZXTHD,"Zacualtipán, Hgo.",213
-103.133333,20.316667,JAL,ACHAPALAGDL,"Acueducto Chapala Guadalajara, Jal. SGT*",63.2
-103.228611,22.325833,JAL,ACHZC,"Achimec, Jal.",148.42
-102.436944,21.599444,JAL,AJJJL,"Ajojucar, Jal.",72
-103.091944,20.397222,JAL,ATQJL,"Atequiza, Jal.",72.54
-103.446389,20.746667,JAL,BAZJL,"Base Aérea Zapopan, Jal.",101.8
-104.063611,19.914444,JAL,BBAJL,"Basilio Vadillo, Jal.",109.54
-103.724444,22.406111,JAL,BCSJL,"Bocas, Jal.",181.61
-103.782778,21.831667,JAL,BLNJL,"Bolaños, Jal.",151.41
