LON,LAT,EDO,CLAVE,ESTACION,jun-19
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.01
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",0.01
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",0
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",264
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",351.72
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",304.1
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",233.51
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",309.5
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",446.71
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",296.61
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",275.11
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",330
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",195.3
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",155.5
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",326
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",248.81
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",135.6
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",141.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",43.9
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",12.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",46.4
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",8.2
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",32.5
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",13.5
