LON,LAT,EDO,CLAVE,ESTACION,ene-21
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",17
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",178.6
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",43.1
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",368.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",71.44
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",3.6
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",17.2
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",40.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",361.9
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",352.1
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",33.5
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",9
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",8.4
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",80.4
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",149
-93.604722,17.199444,CHIS,MALPASOCFE,"Malpaso, Chis. CFE*",149.3
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",44.6
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",12.6
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",42.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",6.2
-91.967778,15.849444,CHIS,PCONCORDIACFE,"Puente Concordia, Chis. CFE*",6.2
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",257.4
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",6.5
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",110.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",8.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",0.1
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",182.8
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",456
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",5.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",11.1
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",59.8
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",64.7
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",255.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",4.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",90.2
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",12
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",90.6
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",0.4
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",0.5
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",0
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",377
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",127.17
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",180.4
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",6
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",9.21
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0.02
